Date,Open,High,Low,Close,Volume
7-Jul-15,8.30,8.50,8.06,8.50,13268
6-Jul-15,8.20,8.49,8.20,8.36,3710
2-Jul-15,8.05,8.49,8.01,8.49,12683
1-Jul-15,8.34,8.45,8.01,8.12,18327
30-Jun-15,8.50,8.50,8.06,8.39,26615
29-Jun-15,8.41,8.41,8.25,8.29,21106
26-Jun-15,8.29,8.52,8.09,8.46,40466
25-Jun-15,8.34,8.63,8.32,8.32,20674
24-Jun-15,8.50,8.54,8.30,8.35,19455
23-Jun-15,8.69,8.69,8.32,8.42,9460
22-Jun-15,8.29,8.74,8.29,8.50,7976
19-Jun-15,8.36,8.74,8.20,8.29,18308
18-Jun-15,8.04,8.51,8.04,8.29,26590
17-Jun-15,8.14,8.45,8.14,8.40,29482
16-Jun-15,8.24,8.28,8.18,8.24,21591
15-Jun-15,8.20,8.26,8.15,8.20,12828
12-Jun-15,8.17,8.46,8.09,8.20,21221
11-Jun-15,8.14,8.20,8.12,8.13,14220
10-Jun-15,8.25,8.25,8.07,8.13,19142
9-Jun-15,8.09,8.24,8.04,8.20,49925
8-Jun-15,8.30,8.30,8.10,8.18,8443
5-Jun-15,8.19,8.57,8.17,8.25,27905
4-Jun-15,8.25,8.29,8.14,8.29,16415
3-Jun-15,8.28,8.30,8.11,8.24,14779
2-Jun-15,8.06,8.38,8.06,8.29,29573
1-Jun-15,8.31,8.34,8.15,8.27,31248
29-May-15,8.45,8.45,8.16,8.37,49833
28-May-15,8.46,8.46,8.21,8.44,20542
27-May-15,8.20,8.69,8.17,8.52,45041
26-May-15,8.62,8.62,8.11,8.22,36900
22-May-15,8.48,8.97,8.47,8.47,23881
21-May-15,8.70,8.70,8.40,8.48,28533
20-May-15,8.86,8.86,8.54,8.54,76394
19-May-15,9.50,9.62,8.65,8.76,59833
18-May-15,8.67,9.40,8.59,9.34,227065
15-May-15,8.05,8.73,8.05,8.70,439692
14-May-15,8.41,8.41,7.75,8.05,87372
13-May-15,8.85,8.89,8.36,8.45,47871
12-May-15,9.54,9.57,8.97,9.04,37725
11-May-15,9.73,9.73,9.36,9.44,19144
8-May-15,10.08,10.08,9.34,9.72,45266
7-May-15,10.30,10.35,9.76,9.88,35913
6-May-15,10.70,10.70,10.30,10.38,28601
5-May-15,11.48,11.48,10.50,10.70,36843
4-May-15,11.53,11.53,10.20,10.51,44394
1-May-15,10.69,10.75,10.18,10.45,25947
30-Apr-15,11.18,11.18,10.68,10.74,32253
29-Apr-15,11.11,11.30,11.08,11.23,39842
28-Apr-15,10.30,11.10,10.30,10.93,71384
27-Apr-15,9.82,10.41,9.80,10.30,47353
24-Apr-15,9.75,9.75,9.63,9.74,11666
23-Apr-15,9.84,9.91,9.79,9.79,7795
22-Apr-15,10.10,10.22,9.85,9.96,12054
21-Apr-15,10.15,10.16,10.05,10.12,5647
20-Apr-15,9.68,10.10,9.68,10.08,32943
17-Apr-15,9.83,9.85,9.59,9.70,15481
16-Apr-15,9.96,10.00,9.82,9.85,23859
15-Apr-15,9.91,10.25,9.67,10.15,41295
14-Apr-15,10.10,10.15,9.92,9.94,20918
13-Apr-15,10.32,10.50,10.07,10.09,29090
10-Apr-15,10.18,10.43,9.66,10.22,38692
9-Apr-15,9.46,10.08,9.30,10.04,113572
8-Apr-15,9.85,9.85,9.40,9.47,23725
7-Apr-15,9.14,10.00,9.14,9.87,33453
6-Apr-15,9.40,9.50,9.04,9.14,17699
2-Apr-15,9.17,9.48,8.90,9.47,25795
1-Apr-15,9.47,9.47,8.94,9.30,21570
31-Mar-15,9.46,9.71,9.31,9.44,13947
